,T,W,SR,DSP,DRH,PanE,Index
952,0.3396313364055299,0.3256038647342996,0.5672683513838748,0.4692307692307709,0.6647058823529413,0.2983471074380165,0.6559119120791217
786,0.4428571428571429,0.3952495974235105,0.1895306859205776,0.3769230769230749,0.6835294117647058,0.2256198347107438,0.5721685001487586
414,0.5976958525345623,0.3322061191626408,0.7985559566787003,0.4384615384615374,0.58,0.5628099173553719,0.598671090953378
251,0.5423963133640554,0.3190016103059581,0.7385078219013237,0.5,0.58,0.5033057851239671,0.5309967936155456
69,0.66036866359447,0.2045088566827697,0.585078219013237,0.3769230769230749,0.4764705882352941,0.4504132231404959,0.5087735937967811
803,0.3764976958525345,0.2980676328502415,0.3695547533092659,0.5923076923076916,0.5705882352941177,0.2785123966942149,0.456148179082855
131,0.5608294930875577,0.3252012882447666,0.7575210589651021,0.5307692307692291,0.6741176470588235,0.4636363636363637,0.2658949118045585
300,0.5165898617511522,0.3975040257648953,0.5819494584837545,0.3461538461538458,0.7023529411764706,0.3842975206611571,0.311668126336463
1009,0.5018433179723504,0.287842190016103,0.3986762936221421,0.5923076923076916,0.6835294117647058,0.2785123966942149,0.2699552011334916
326,0.5829493087557605,0.3512882447665056,0.5898916967509025,0.4076923076923083,0.5988235294117648,0.4570247933884298,0.80496348814358
1419,0.476036866359447,0.3340579710144927,0.3077015643802647,0.4692307692307709,0.7964705882352942,0.2057851239669421,0.7023799621930177
1098,0.5497695852534562,0.3101449275362319,0.4986762936221419,0.4384615384615374,0.6741176470588235,0.3446280991735537,0.8065790709220625
499,0.3543778801843318,0.287037037037037,0.3889290012033694,0.6230769230769251,0.26,0.4173553719008265,0.5523752986562175
1166,0.3912442396313363,0.2632045088566828,0.6594464500601684,0.5,0.3917647058823529,0.4570247933884298,0.5280257226905457
832,0.708294930875576,0.3523349436392914,0.6504211793020456,0.3769230769230749,0.4858823529411765,0.5628099173553719,0.8642629630567246
364,0.4096774193548387,0.3567632850241545,0.8293622141997593,0.5307692307692291,0.5894117647058824,0.4900826446280992,0.7489939693210769
495,0.2695852534562212,0.1968599033816425,0.3197352587244284,0.7153846153846167,0.6176470588235294,0.1991735537190082,0.4137482050048361
1352,0.627188940092166,0.2859903381642512,0.4244283995186523,0.5,0.7023529411764706,0.3115702479338843,0.6678267968471855
338,0.5129032258064516,0.4256843800322061,0.8324909747292419,0.4384615384615374,0.6741176470588235,0.5231404958677686,0.6440274494020403
421,0.3654377880184332,0.3640901771336554,0.3336943441636582,0.5615384615384625,0.7682352941176471,0.1925619834710744,0.7032136494792801
164,0.4723502304147466,0.3942028985507246,0.2430806257521059,0.5307692307692291,0.6270588235294118,0.2917355371900826,0.200659254255912
28,0.6788018433179723,0.3490338164251207,0.7756919374247894,0.4692307692307709,0.608235294117647,0.5694214876033058,0.3917746693868428
516,0.4686635944700461,0.2056360708534621,0.3870036101083032,0.5615384615384625,0.2317647058823529,0.4041322314049587,0.1175705974748384
193,0.3728110599078341,0.3024959742351046,0.6239470517448856,0.5307692307692291,0.6741176470588235,0.3380165289256198,0.8035182104856882
918,0.2953917050691244,0.4216586151368761,0.4002406738868832,0.8076923076923084,0.1941176470588235,0.5033057851239671,0.4142671687171786
1319,0.5682027649769585,0.287037037037037,0.861251504211793,0.4692307692307709,0.6176470588235294,0.5231404958677686,0.2596118836231702
1318,0.4686635944700461,0.3270531400966183,0.3918170878459687,0.5,0.7776470588235295,0.2322314049586777,0.2309731291132863
169,0.5940092165898618,0.1789049919484702,0.3919374247894103,0.5615384615384625,0.288235294117647,0.4107438016528926,0.1133882072518411
167,0.5903225806451613,0.2892914653784219,0.5269554753309266,0.3769230769230749,0.711764705882353,0.3314049586776859,0.2121155885039433
652,0.5903225806451613,0.3241545893719806,0.8262334536702767,0.4076923076923083,0.6458823529411765,0.5363636363636364,0.312398895379936
173,0.6640552995391705,0.3142512077294686,0.8111913357400721,0.4692307692307709,0.2035294117647059,0.8074380165289256,0.6535066559299412
518,0.5387096774193549,0.2921900161030596,0.4346570397111914,0.3461538461538458,0.7400000000000001,0.271900826446281,0.5985660835745161
1174,0.4317972350230415,0.4070048309178743,0.6482551143200962,0.4384615384615374,0.58,0.4570247933884298,0.1700800470785168
1164,0.3949308755760369,0.2581320450885668,0.6273164861612515,0.4692307692307709,0.288235294117647,0.4504132231404959,0.5725381062823819
491,0.4944700460829493,0.3211755233494364,0.7202166064981949,0.3461538461538458,0.7494117647058823,0.3776859504132231,0.2224083373640464
73,0.4539170506912443,0.3233494363929146,0.7511432009626956,0.5,0.608235294117647,0.4768595041322314,0.6545552280767656
1212,0.4723502304147466,0.3112721417069243,0.6967509025270757,0.5,0.6458823529411765,0.4107438016528926,0.2394034416566505
587,0.5534562211981567,0.3134460547504026,0.4246690734055354,0.6538461538461542,0.6929411764705883,0.2785123966942149,0.5655325741068001
750,0.4391705069124424,0.2690821256038648,0.4169675090252707,0.4692307692307709,0.6552941176470588,0.2454545454545454,0.358095050245739
657,0.4133640552995392,0.2258454106280193,0.4090252707581226,0.6230769230769251,0.4858823529411765,0.3049586776859504,0.8996079334464813
842,0.5350230414746545,0.3710950080515298,0.6160048134777376,0.5615384615384625,0.6552941176470588,0.4107438016528926,0.3870984500939853
234,0.5387096774193549,0.3332528180354267,0.683754512635379,0.3769230769230749,0.6552941176470588,0.4305785123966942,0.560709340791632
732,0.5350230414746545,0.2980676328502415,0.604572803850782,0.5,0.5423529411764706,0.443801652892562,0.2474669627418452
214,0.2290322580645161,0.2309178743961352,0.3765342960288808,0.6230769230769251,0.288235294117647,0.3314049586776859,0.8408500776944127
162,0.2880184331797235,0.2342190016103059,0.3800240673886883,0.7461538461538458,0.3352941176470588,0.3181818181818182,0.3068187053836043
132,0.490783410138249,0.4124798711755234,0.5830324909747292,0.4076923076923083,0.6929411764705883,0.390909090909091,0.8553147389936383
1070,0.4797235023041475,0.3219001610305958,0.378820697954272,0.5307692307692291,0.58,0.3181818181818182,0.8667128462985572
222,0.4465437788018435,0.3123993558776167,0.3509025270758122,0.3153846153846167,0.5705882352941177,0.3842975206611571,0.6336643930470911
1187,0.5976958525345623,0.3809983896940419,0.8114320096269555,0.4384615384615374,0.6364705882352941,0.5429752066115702,0.8638779111206754
185,0.5866359447004609,0.2852657004830918,0.5460890493381468,0.5,0.1847058823529412,0.5892561983471074,0.5357467699256614
41,0.3506912442396314,0.2272946859903381,0.4495788206979543,0.6846153846153833,0.3070588235294118,0.3644628099173553,0.4251424261795733
692,0.5460829493087559,0.3024959742351046,0.457641395908544,0.4692307692307709,0.7588235294117647,0.2785123966942149,0.8627823482600948
108,0.4428571428571429,0.362962962962963,0.4061371841155234,0.4384615384615374,0.6929411764705883,0.2983471074380165,0.7358154100443298
38,0.4023041474654377,0.234621578099839,0.5009626955475331,0.4692307692307709,0.4576470588235294,0.3181818181818182,0.4035585950991704
568,0.5350230414746545,0.2624798711755233,0.5631768953068591,0.5923076923076916,0.6647058823529413,0.3512396694214876,0.7939727928711293
938,0.6050691244239632,0.2984702093397746,0.4883273164861613,0.3461538461538458,0.7776470588235295,0.3049586776859504,0.8761398163987683
1226,0.251152073732719,0.3101449275362319,0.5068592057761733,0.8076923076923084,0.6270588235294118,0.2652892561983471,0.6403683022895945
1440,0.5608294930875577,0.2155394524959742,0.3690734055354994,0.5,0.6647058823529413,0.2520661157024793,0.5529481328650333
483,0.6714285714285715,0.2632045088566828,0.8173285198555956,0.3153846153846167,0.4670588235294117,0.6024793388429752,0.3084899516397303
468,0.3838709677419355,0.3032206119162641,0.5687123947051744,0.6230769230769251,0.6741176470588235,0.3049586776859504,0.1776023238111433
890,0.6124423963133642,0.3046698872785829,0.5730445246690734,0.5,0.5329411764705883,0.4768595041322314,0.50233831631279
24,0.4465437788018435,0.2573268921095008,0.3679903730445246,0.5307692307692291,0.7211764705882353,0.2322314049586777,0.4542525405109558
953,0.2474654377880184,0.2702093397745572,0.4950661853188928,0.7461538461538458,0.4952941176470589,0.3049586776859504,0.6019719283556426
983,0.4207373271889401,0.3838969404186796,0.322503008423586,0.6846153846153833,0.7400000000000001,0.2256198347107438,0.8727669419249245
68,0.4170506912442396,0.3090982286634461,0.5787003610108302,0.3461538461538458,0.6270588235294118,0.390909090909091,0.1058987547555158
884,0.483410138248848,0.3083735909822865,0.3943441636582431,0.4076923076923083,0.7588235294117647,0.2454545454545454,0.830660426054181
1244,0.5018433179723504,0.3813204508856682,0.3509025270758122,0.4384615384615374,0.7776470588235295,0.2388429752066116,0.1886894339573494
366,0.5387096774193549,0.3270531400966183,0.5998796630565583,0.3461538461538458,0.7588235294117647,0.3446280991735537,0.5610290083064687
505,0.5460829493087559,0.3237520128824476,0.761612515042118,0.5,0.6176470588235294,0.5033057851239671,0.5156801291736189
850,0.3728110599078341,0.22914653784219,0.331768953068592,0.6846153846153833,0.6835294117647058,0.2057851239669421,0.7524912850350421
1274,0.3506912442396314,0.1968599033816425,0.3637785800240674,0.5615384615384625,0.4858823529411765,0.2454545454545454,0.3926602600268535
383,0.4870967741935484,0.2801127214170692,0.3561973525872443,0.5,0.6741176470588235,0.2520661157024793,0.6417266099270926
734,0.4170506912442396,0.3703703703703703,0.5009626955475331,0.5923076923076916,0.7400000000000001,0.2983471074380165,0.8806526946254726
717,0.3211981566820276,0.5489533011272142,0.2129963898916967,0.3769230769230749,0.7964705882352942,0.1991735537190082,0.6600136374115697
1293,0.1147465437788018,0.3685185185185186,0.4040914560770157,0.4076923076923083,0.3070588235294118,0.3842975206611571,0.865820967383046
454,0.5129032258064516,0.4114331723027374,0.5267148014440434,0.3769230769230749,0.711764705882353,0.3578512396694215,0.3805495847648431
264,0.708294930875576,0.3567632850241545,0.7936221419975932,0.4692307692307709,0.6647058823529413,0.5429752066115702,0.370538526569528
75,0.5276497695852536,0.2705314009661835,0.7495788206979543,0.3461538461538458,0.7211764705882353,0.4107438016528926,0.3312219182926963
914,0.3543778801843318,0.2764090177133655,0.365222623345367,0.6538461538461542,0.3541176470588235,0.3710743801652892,0.5642577083136778
232,0.4870967741935484,0.3739935587761674,0.8657039711191337,0.5923076923076916,0.3447058823529412,0.6950413223140496,0.6360173742443668
444,0.3211981566820276,0.1935587761674718,0.3537906137184116,0.6230769230769251,0.5894117647058824,0.1991735537190082,0.2352624818190535
395,0.2142857142857143,0.2731078904991948,0.2178098676293622,0.6538461538461542,0.3164705882352941,0.3181818181818182,0.8515423756341981
611,0.3506912442396314,0.2426731078904992,0.664861612515042,0.5,0.5894117647058824,0.3446280991735537,0.3383961094812682
176,0.57926267281106,0.3736714975845411,0.7200962695547534,0.5,0.6364705882352941,0.4966942148760331,0.2268017094630799
18,0.4391705069124424,0.2738325281803543,0.6587244283995186,0.5307692307692291,0.4105882352941177,0.4636363636363637,0.7191359514990407
1270,0.3580645161290322,0.1964573268921095,0.372202166064982,0.4692307692307709,0.3447058823529412,0.3049586776859504,0.1592168998636048
1024,0.3285714285714286,0.4690016103059581,0.255956678700361,0.4384615384615374,0.5988235294117648,0.3247933884297521,0.4723510786428047
341,0.3654377880184332,0.3934782608695653,0.249338146811071,0.5307692307692291,0.5894117647058824,0.3115702479338843,0.7507381017866862
994,0.4612903225806452,0.2522544283413849,0.457641395908544,0.6230769230769251,0.3635294117647059,0.390909090909091,0.1127024714104527
